"Name","FinalAP","FinalAUC","Error","SizeKB"
"elliptic_dtbe_seed42_50ep.log","True","True","False","29.4"
"elliptic_dtbe_seed43_50ep.log","True","True","False","30.9"
"elliptic_dtbe_seed44_50ep.log","True","True","False","33.7"
"elliptic_dtbe_seed45_50ep.log","True","True","False","32"
"elliptic_dtbe_seed46_50ep.log","True","True","False","36.3"
"elliptic_dtbe_strict_seed42_50ep.log","True","True","False","27.9"
"elliptic_dtbe_strict_seed43_50ep.log","True","True","False","27"
"elliptic_dtbe_strict_seed44_50ep.log","True","True","False","24.4"
"elliptic_dtbe_strict_seed45_50ep.log","True","True","False","30.4"
"elliptic_dtbe_strict_seed46_50ep.log","True","True","False","31.9"
"elliptic_franad_no_dtbe_strict_seed42_50ep.log","True","True","False","23.9"
"elliptic_franad_no_dtbe_strict_seed43_50ep.log","True","True","False","25.6"
"elliptic_franad_no_dtbe_strict_seed44_50ep.log","True","True","False","25.2"
"elliptic_franad_no_dtbe_strict_seed45_50ep.log","True","True","False","23.9"
"elliptic_franad_no_dtbe_strict_seed46_50ep.log","True","True","False","27.3"
"elliptic_franad_no_group_strict_seed42_50ep.log","True","True","False","24.7"
"elliptic_franad_no_group_strict_seed43_50ep.log","True","True","False","26.1"
"elliptic_franad_no_group_strict_seed44_50ep.log","True","True","False","23.9"
"elliptic_franad_no_group_strict_seed45_50ep.log","True","True","False","23.9"
"elliptic_franad_no_group_strict_seed46_50ep.log","True","True","False","26.1"
"elliptic_franad_no_risk_strict_seed42_50ep.log","True","True","False","29.3"
"elliptic_franad_no_risk_strict_seed43_50ep.log","True","True","False","28.8"
"elliptic_franad_no_risk_strict_seed44_50ep.log","True","True","False","23.1"
"elliptic_franad_no_risk_strict_seed45_50ep.log","True","True","False","28.7"
"elliptic_franad_no_risk_strict_seed46_50ep.log","True","True","False","27.4"
"elliptic_graphsage_dtbe_strict_seed42_50ep.log","True","True","False","18.9"
"elliptic_graphsage_dtbe_strict_seed43_50ep.log","True","True","False","20"
"elliptic_graphsage_dtbe_strict_seed44_50ep.log","True","True","False","18.9"
"elliptic_graphsage_dtbe_strict_seed45_50ep.log","True","True","False","20.6"
"elliptic_graphsage_dtbe_strict_seed46_50ep.log","True","True","False","20.3"
"elliptic_graphsage_strict_seed42_50ep.log","True","True","False","17.3"
"elliptic_graphsage_strict_seed43_50ep.log","True","True","False","18.7"
"elliptic_graphsage_strict_seed44_50ep.log","True","True","False","24.2"
"elliptic_graphsage_strict_seed45_50ep.log","True","True","False","19"
"elliptic_graphsage_strict_seed46_50ep.log","True","True","False","18.7"
"elliptic_iv_seed42_50ep.log","True","True","False","36.4"
"elliptic_iv_seed43_50ep.log","True","True","False","34.2"
"elliptic_iv_seed44_50ep.log","True","True","False","30.9"
"elliptic_iv_seed45_50ep.log","True","True","False","31.1"
"elliptic_iv_seed46_50ep.log","True","True","False","30.4"
"elliptic_woe_seed42_50ep.log","True","True","False","36.4"
"elliptic_woe_seed43_50ep.log","True","True","False","28.3"
"elliptic_woe_seed44_50ep.log","True","True","False","36.4"
"elliptic_woe_seed45_50ep.log","True","True","False","35.7"
"elliptic_woe_seed46_50ep.log","True","True","False","29.9"
