Experiment,Seed,LogFile,AP,AUC,Macro_F1,G_Mean,Recall,Precision
old_dtbe,42,elliptic_dtbe_seed42_50ep.log,0.80444,0.93528,0.86052,0.84433,0.72484,0.75336
old_dtbe,43,elliptic_dtbe_seed43_50ep.log,0.80179,0.94035,0.87454,0.85369,0.73869,0.79286
old_dtbe,44,elliptic_dtbe_seed44_50ep.log,0.81896,0.94809,0.88416,0.84757,0.72484,0.84957
old_dtbe,45,elliptic_dtbe_seed45_50ep.log,0.80408,0.94424,0.86235,0.84113,0.71837,0.76726
old_dtbe,46,elliptic_dtbe_seed46_50ep.log,0.8036,0.93528,0.86868,0.85139,0.73592,0.77304
old_iv,42,elliptic_iv_seed42_50ep.log,0.7942,0.92177,0.84202,0.84445,0.73038,0.6819
old_iv,43,elliptic_iv_seed43_50ep.log,0.79678,0.92705,0.86928,0.84656,0.72669,0.78543
old_iv,44,elliptic_iv_seed44_50ep.log,0.78579,0.92518,0.84149,0.83851,0.7193,0.68938
old_iv,45,elliptic_iv_seed45_50ep.log,0.78955,0.91955,0.82449,0.84582,0.73869,0.61967
old_iv,46,elliptic_iv_seed46_50ep.log,0.77813,0.91767,0.80469,0.83979,0.73407,0.56503
old_woe,42,elliptic_woe_seed42_50ep.log,0.80344,0.94033,0.87258,0.85096,0.73407,0.79026
old_woe,43,elliptic_woe_seed43_50ep.log,0.77912,0.92813,0.83032,0.83476,0.7156,0.65456
old_woe,44,elliptic_woe_seed44_50ep.log,0.80096,0.93818,0.87093,0.84876,0.73038,0.78785
old_woe,45,elliptic_woe_seed45_50ep.log,0.80368,0.9421,0.83981,0.84988,0.74146,0.66584
old_woe,46,elliptic_woe_seed46_50ep.log,0.78432,0.92733,0.86395,0.84235,0.72022,0.77151
strict_franad_dtbe_full,42,elliptic_dtbe_strict_seed42_50ep.log,0.74736,0.90062,0.83197,0.84087,0.72669,0.65149
strict_franad_dtbe_full,43,elliptic_dtbe_strict_seed43_50ep.log,0.78593,0.90654,0.85336,0.84523,0.72853,0.72319
