Experiment,Runs,AP_Mean,AP_SD,AUC_Mean,AUC_SD,Macro_F1_Mean,Macro_F1_SD,G_Mean_Mean,G_Mean_SD,Recall_Mean,Recall_SD,Precision_Mean,Precision_SD
old_dtbe,5,0.806574,0.006998541276580442,0.940648,0.005612608128134338,0.87005,0.009633794683301083,0.847622,0.0050991293374457085,0.7285320000000001,0.008489633089833722,0.787218,0.03763411245133865
old_iv,5,0.78889,0.007353084386840728,0.9222440000000001,0.0038769034034910363,0.836394,0.02390585137576154,0.843026,0.0036465504247164895,0.729826,0.007374281659931327,0.6682819999999999,0.08273199423439519
old_woe,5,0.794304,0.011682383318484263,0.935214,0.006977250891289506,0.855518,0.0192446140517289,0.8453419999999999,0.006796485856676239,0.7283459999999999,0.010456705025963017,0.734004,0.06787582286794025
strict_franad_dtbe_full,5,0.735616,0.045378649495109495,0.911768,0.013541813763303658,0.824126,0.025573926761449824,0.839696,0.005987368370160611,0.727424,0.004946299626993909,0.62995,0.07651373340780074
strict_franad_iv,5,0.64287,0.11144232319904314,0.890212,0.009104357198616452,0.794932,0.0471900028607755,0.823728,0.004835976633524968,0.708772,0.014491796644998854,0.5685520000000001,0.14670624243705516
strict_franad_no_dtbe,5,0.6137,0.09413683949442954,0.854976,0.010919740381529156,0.831706,0.026088054354435897,0.7838860000000001,0.008834406035495528,0.623456,0.0105586661089363,0.762648,0.11109515975054898
strict_franad_no_group,5,0.771094,0.018767589882560862,0.90668,0.003598638631482787,0.8314980000000001,0.029673158241077118,0.8332900000000001,0.006760495543967169,0.713018,0.007314418637185016,0.66668,0.09616391292995519
strict_franad_no_risk,5,0.7438819999999999,0.02810533525863016,0.912604,0.01291095387645697,0.8387180000000001,0.01588997388292381,0.830932,0.007831616691335173,0.706184,0.015984055492896658,0.694992,0.06786266108840706
strict_franad_woe,5,0.684528,0.07011470152542898,0.905044,0.014725575710307547,0.8054859999999999,0.022747774176828797,0.82567,0.006061645816112982,0.7071080000000001,0.015442979634772556,0.58799,0.07841140382622924
strict_graphsage,5,0.676242,0.047080010832624086,0.864048,0.009346495064996269,0.8454119999999999,0.022527110777904934,0.778446,0.025058941118890062,0.61182,0.042368617513437935,0.857948,0.12653114683744868
strict_graphsage_dtbe,5,0.772108,0.008740779141472518,0.9062979999999999,0.005336526960486553,0.83388,0.016536846736908466,0.83241,0.003423974298968985,0.710248,0.00399320297505651,0.672926,0.05759674713037186
