experiment,seed,log_file,aps,auc,mf1,gme,rec,pre
full_graph_franad_dtbe,42,tfinance_strict_dtbe_seed42.log,0.90068,0.97521,0.92095,0.88008,0.77655,0.93522
full_graph_franad_dtbe,43,tfinance_strict_dtbe_seed43.log,0.89952,0.97463,0.9156,0.87739,0.77241,0.91653
full_graph_franad_dtbe,44,tfinance_strict_dtbe_seed44.log,0.89999,0.97671,0.91816,0.8791,0.77517,0.92434
full_graph_franad_dtbe,45,tfinance_strict_dtbe_seed45.log,0.89797,0.97274,0.91614,0.86845,0.75586,0.9432
full_graph_franad_dtbe,46,tfinance_strict_dtbe_seed46.log,0.90128,0.97321,0.91785,0.88129,0.77931,0.91721
full_graph_franad_iv,42,tfinance_iv_strict_seed42.log,0.85353,0.96927,0.8996,0.87072,0.76276,0.8587
full_graph_franad_iv,43,tfinance_iv_strict_seed43.log,0.86123,0.97069,0.89833,0.88022,0.78069,0.83235
full_graph_franad_iv,44,tfinance_iv_strict_seed44.log,0.86132,0.97095,0.90254,0.88868,0.79586,0.83261
full_graph_franad_iv,45,tfinance_iv_strict_seed45.log,0.85945,0.97185,0.90255,0.86651,0.75448,0.88226
full_graph_franad_iv,46,tfinance_iv_strict_seed46.log,0.87789,0.97664,0.90703,0.87587,0.77103,0.88031
full_graph_franad_no_dtbe,42,tfinance_franad_no_dtbe_seed42.log,0.83016,0.96383,0.89413,0.86123,0.74621,0.85601
full_graph_franad_no_dtbe,43,tfinance_franad_no_dtbe_seed43.log,0.83372,0.96099,0.89714,0.85923,0.74207,0.8748
full_graph_franad_no_dtbe,44,tfinance_franad_no_dtbe_seed44.log,0.77094,0.93458,0.86733,0.79028,0.62621,0.91903
full_graph_franad_no_dtbe,45,tfinance_franad_no_dtbe_seed45.log,0.82322,0.9575,0.8912,0.8662,0.75586,0.83156
full_graph_franad_no_dtbe,46,tfinance_franad_no_dtbe_seed46.log,0.78543,0.94181,0.86457,0.85605,0.74207,0.74105
full_graph_franad_woe,42,tfinance_woe_strict_seed42.log,0.86488,0.97225,0.90085,0.87752,0.77517,0.84894
full_graph_franad_woe,43,tfinance_woe_strict_seed43.log,0.86265,0.96992,0.90374,0.86436,0.75034,0.89327
full_graph_franad_woe,44,tfinance_woe_strict_seed44.log,0.84423,0.9661,0.89328,0.87236,0.7669,0.82738
full_graph_franad_woe,45,tfinance_woe_strict_seed45.log,0.86255,0.96996,0.90231,0.88061,0.78069,0.84858
full_graph_franad_woe,46,tfinance_woe_strict_seed46.log,0.86517,0.97096,0.9042,0.86515,0.75172,0.89344
full_graph_graphsage_dtbe,42,tfinance_graphsage_dtbe_seed42.log,0.89891,0.97565,0.92053,0.88817,0.79172,0.91256
full_graph_graphsage_dtbe,43,tfinance_graphsage_dtbe_seed43.log,0.89663,0.97475,0.91458,0.86907,0.75724,0.93367
full_graph_graphsage_dtbe,44,tfinance_graphsage_dtbe_seed44.log,0.89911,0.974,0.91632,0.8819,0.78069,0.90851
full_graph_graphsage_dtbe,45,tfinance_graphsage_dtbe_seed45.log,0.89639,0.97423,0.91934,0.89099,0.79724,0.90031
full_graph_graphsage_dtbe,46,tfinance_graphsage_dtbe_seed46.log,0.89815,0.97437,0.91587,0.88112,0.77931,0.90836
full_graph_graphsage_no_dtbe,42,tfinance_graphsage_no_dtbe_seed42.log,0.79791,0.9505,0.88297,0.84499,0.71862,0.84304
full_graph_graphsage_no_dtbe,43,tfinance_graphsage_no_dtbe_seed43.log,0.78594,0.93329,0.8789,0.85071,0.72966,0.81135
full_graph_graphsage_no_dtbe,44,tfinance_graphsage_no_dtbe_seed44.log,0.79406,0.94262,0.87834,0.83062,0.69379,0.8569
full_graph_graphsage_no_dtbe,45,tfinance_graphsage_no_dtbe_seed45.log,0.79495,0.94924,0.87881,0.85298,0.73379,0.80606
full_graph_graphsage_no_dtbe,46,tfinance_graphsage_no_dtbe_seed46.log,0.79198,0.9423,0.87931,0.83227,0.69655,0.85739
full_graph_no_group,42,tfinance_no_group_seed42.log,0.8992,0.97516,0.91769,0.87608,0.76966,0.93
full_graph_no_group,43,tfinance_no_group_seed43.log,0.90048,0.97446,0.91814,0.87686,0.77103,0.93012
full_graph_no_group,44,tfinance_no_group_seed44.log,0.9003,0.97469,0.92207,0.88757,0.79034,0.92122
full_graph_no_group,45,tfinance_no_group_seed45.log,0.89626,0.97416,0.90955,0.8626,0.74621,0.92637
full_graph_no_group,46,tfinance_no_group_seed46.log,0.89794,0.97434,0.91816,0.8791,0.77517,0.92434
full_graph_no_risk,42,tfinance_no_risk_seed42.log,0.89717,0.97479,0.91617,0.87892,0.77517,0.91531
full_graph_no_risk,43,tfinance_no_risk_seed43.log,0.89895,0.97364,0.91493,0.86306,0.74621,0.95246
full_graph_no_risk,44,tfinance_no_risk_seed44.log,0.90317,0.97681,0.92094,0.87561,0.76828,0.94728
full_graph_no_risk,45,tfinance_no_risk_seed45.log,0.89847,0.97536,0.91796,0.88204,0.78069,0.91586
full_graph_no_risk,46,tfinance_no_risk_seed46.log,0.89847,0.9738,0.9181,0.87238,0.76276,0.94208
isolated_franad_dtbe,42,tfinance_isolated_dtbe_seed42.log,0.89669,0.97277,0.91595,0.89577,0.8069,0.87444
isolated_franad_dtbe,43,tfinance_isolated_dtbe_seed43.log,0.89753,0.97097,0.92063,0.88671,0.78897,0.91667
isolated_franad_dtbe,44,tfinance_isolated_dtbe_seed44.log,0.89882,0.97273,0.92141,0.89191,0.79862,0.90752
isolated_franad_dtbe,45,tfinance_isolated_dtbe_seed45.log,0.89595,0.97124,0.92075,0.88745,0.79034,0.91534
isolated_franad_dtbe,46,tfinance_isolated_dtbe_seed46.log,0.8995,0.97503,0.92461,0.89146,0.79724,0.92332
isolated_graphsage_dtbe,42,tfinance_isolated_graphsage_dtbe_seed42.log,0.89017,0.9705,0.91587,0.88112,0.77931,0.90836
isolated_graphsage_dtbe,43,tfinance_isolated_graphsage_dtbe_seed43.log,0.88795,0.97186,0.91208,0.89105,0.79862,0.86807
isolated_graphsage_dtbe,44,tfinance_isolated_graphsage_dtbe_seed44.log,0.89278,0.97016,0.91225,0.86887,0.75724,0.92269
isolated_graphsage_dtbe,45,tfinance_isolated_graphsage_dtbe_seed45.log,0.88922,0.96915,0.91171,0.89826,0.81241,0.85116
isolated_graphsage_dtbe,46,tfinance_isolated_graphsage_dtbe_seed46.log,0.89392,0.97253,0.91852,0.89819,0.81103,0.88024
